Filename,Task,Strain,MomGenotype,DadGenotype,SSPsyGene_number,Animal_ID,Sex,Genotype,DOB,FED3,Start_Date
,,MYT1L,,,1,7_32,f,Wt,12/13/2024,017,3/3/2025
,,MYT1L,,,1,8_34,m,Wt,12/13/2024,037,3/3/2025
,,MYT1L,,,1,8_36,m,Wt,12/13/2024,038,3/3/2025
,,MYT1L,,,1,8_41,f,Wt,12/13/2024,018,3/3/2025
,,MYT1L,,,1,10_42,f,Wt,12/13/2024,019,3/3/2025
,,MYT1L,,,1,10_44,m,Wt,12/13/2024,039,3/3/2025
,,MYT1L,,,1,12_45,m,Wt,12/12/2024,040,3/3/2025
,,MYT1L,,,1,12_48,f,Wt,12/12/2024,020,3/3/2025
,,MYT1L,,,1,1_1,f,Wt,12/12/2024,011,3/3/2025
,,MYT1L,,,1,1_3,m,Wt,12/12/2024,034,3/3/2025
,,MYT1L,,,1,1_4,f,Wt,12/12/2024,014,3/3/2025
,,MYT1L,,,1,2_6,f,Wt,12/12/2024,015,3/3/2025
,,MYT1L,,,1,2_9,m,Wt,12/12/2024,035,3/3/2025
,,MYT1L,,,1,3_19,m,Wt,12/13/2024,031,3/3/2025
,,MYT1L,,,1,3_20,m,Wt,12/13/2024,024,3/3/2025
,,MYT1L,,,1,5_22,m,Wt,12/13/2024,032,3/3/2025
,,MYT1L,,,1,5_23,f,Wt,12/13/2024,012,3/3/2025
,,MYT1L,,,1,5_26,m,Wt,12/13/2024,033,3/3/2025
,,MYT1L,,,1,5_27,f,Wt,12/13/2024,013,3/3/2025
,,MYT1L,,,1,7_30,m,Wt,12/13/2024,036,3/3/2025
,,MYT1L,,,1,9_11,f,Wt,12/12/2024,016,3/3/2025
,,DNMT3a,,,002,22_11,f,Wt,1/8/2025,007,3/31/2025
,,DNMT3a,,,002,22_12,m,Wt,1/8/2025,015,3/31/2025
,,DNMT3a,,,002,22_9,f,Wt,1/8/2025,008,3/31/2025
,,DNMT3a,,,002,23_5,f,Wt,1/10/2025,009,3/31/2025
,,DNMT3a,,,002,24_2,f,Wt,1/6/2025,006,3/31/2025
,,DNMT3a,,,002,25_24,m,Wt,1/23/2025,017,3/31/2025
,,DNMT3a,,,002,25_27,m,Wt,1/23/2025,018,3/31/2025
,,DNMT3a,,,002,25_29,m,Wt,1/23/2025,019,3/31/2025
,,DNMT3a,,,002,28_30,f,Wt,2/8/2025,010,3/31/2025
,,DNMT3a,,,002,29_20,m,Wt,1/12/2025,016,3/31/2025
,,DNMT3a,,,002,19_53,f,Wt,2/6/2025,009,4/28/2025
,,DNMT3a,,,002,19_47,f,Wt,2/6/2025,010,4/28/2025
,,DNMT3a,,,002,26_56,f,Wt,2/6/2025,011,4/28/2025
,,DNMT3a,,,002,26_55,f,Wt,2/6/2025,007,4/28/2025
,,DNMT3a,,,002,19_49,f,Wt,2/6/2025,012,4/28/2025
,,DNMT3a,,,002,19_45,m,Wt,2/6/2025,019,4/28/2025
,,DNMT3a,,,002,27_40,m,Wt,2/8/2025,020,4/28/2025
,,DNMT3a,,,002,26_59,m,Wt,2/6/2025,017,4/28/2025
,,DNMT3a,,,002,28_31,m,Wt,2/8/2025,022,4/28/2025
,,DNMT3a,,,002,30_66,m,Wt,2/12/2025,018,4/28/2025
